gt_x,gt_y,gt_psi,gt_v,f_x,f_y,f_psi,f_v,e_x,e_y,e_psi,e_v
74.8562,-66.2821,1.99382,6.99909,74.5095,-65.9587,1.99041,7.44227,0.346697,-0.323437,0.00340583,-0.443186
74.5689,-65.6439,1.99381,6.99918,74.3229,-64.8924,1.9905,7.55606,0.246039,-0.751502,0.00331584,-0.556879
74.2816,-65.0057,1.99381,6.99926,74.1793,-64.4778,1.99038,7.40076,0.102264,-0.527841,0.00342856,-0.4015
73.9943,-64.3674,1.99381,6.99933,74.1779,-64.3849,1.99031,7.04272,-0.183666,0.0174167,0.00349446,-0.0433846
73.7069,-63.7292,1.99381,6.9994,73.9928,-63.9815,1.99003,6.90179,-0.285856,0.252266,0.00377655,0.0976067
73.4196,-63.091,1.9938,6.99946,73.3227,-62.9892,1.99008,7.3374,0.0969463,-0.1018,0.00372714,-0.337944
73.1323,-62.4527,1.9938,6.99951,73.5408,-62.6675,1.99012,7.24376,-0.40853,0.214798,0.00367926,-0.244241
72.8449,-61.8144,1.9938,6.99956,73.2745,-62.0551,1.9902,7.20568,-0.429532,0.240701,0.00360243,-0.206112
72.5576,-61.1762,1.9938,6.99961,72.6769,-61.0013,1.99037,7.36291,-0.119284,-0.174876,0.00343284,-0.363299
72.2703,-60.5379,1.9938,6.99965,72.4289,-59.9674,1.99036,7.4073,-0.158591,-0.57054,0.0034399,-0.407653
71.9829,-59.8996,1.9938,6.99968,71.8254,-59.2699,1.99038,7.33478,0.15756,-0.629723,0.00341683,-0.335103
71.6956,-59.2614,1.9938,6.99971,71.2325,-58.868,1.9905,6.98404,0.463131,-0.393391,0.00330032,0.0156723
71.4083,-58.6231,1.9938,6.99974,71.2364,-58.105,1.99057,6.85162,0.171858,-0.518144,0.00322967,0.148123
71.1209,-57.9848,1.9938,6.99977,71.2153,-56.9231,1.99048,7.08035,-0.0943681,-1.06177,0.00331436,-0.0805798
70.8336,-57.3465,1.9938,6.99979,70.6594,-56.4335,1.99039,6.92179,0.174223,-0.913062,0.00340894,0.077998
70.5462,-56.7083,1.9938,6.99981,70.4366,-56.572,1.99043,6.45016,0.109656,-0.136225,0.00337145,0.549652
70.2589,-56.07,1.9938,6.99983,70.1457,-55.5117,1.99026,6.23068,0.113175,-0.558307,0.00353273,0.769146
69.9716,-55.4317,1.9938,6.99985,69.7898,-54.8505,1.9903,6.01275,0.181804,-0.581162,0.00349818,0.987094
69.6842,-54.7934,1.9938,6.99986,69.5586,-54.5371,1.99034,5.78149,0.125599,-0.256339,0.00345486,1.21837
69.3969,-54.1551,1.9938,6.99988,69.3128,-54.175,1.9903,5.53784,0.0841172,0.0199268,0.00349434,1.46204
69.1095,-53.5168,1.9938,6.99989,69.0321,-53.444,1.99032,5.43144,0.0774452,-0.0727636,0.00347756,1.56844
68.8222,-52.8785,1.9938,6.9999,68.421,-52.8835,1.99026,5.53095,0.401231,0.00502444,0.00353945,1.46895
68.5348,-52.2402,1.9938,6.99991,68.0608,-51.7442,1.99016,5.79886,0.473995,-0.496017,0.00363685,1.20105
68.2475,-51.6019,1.9938,6.99992,67.855,-50.9345,1.99043,5.94086,0.392497,-0.667434,0.00337122,1.05905
67.9601,-50.9636,1.9938,6.99993,67.428,-50.625,1.99054,5.98292,0.532155,-0.338608,0.00326003,1.01701
67.6728,-50.3253,1.9938,6.99993,66.9563,-50.669,1.99098,6.20237,0.716545,0.343638,0.00281232,0.797569
67.3855,-49.687,1.9938,6.99994,67.1419,-49.9686,1.99112,6.52851,0.243527,0.281537,0.00267215,0.47143
